year,plot,plotLoc,AMFInoc,biochar,WSA,block
2013,7,Center,N,L,0.24772836,2
2013,7,Ring,N,L,0.277354315,2
2013,8,Center,Y,H,0.319039851,2
2013,8,Ring,Y,H,0.193951512,2
2013,9,Center,N,H,0.280018437,2
2013,9,Ring,N,H,0.354755784,2
2013,10,Center,Y,N,0.322775629,2
2013,10,Ring,Y,N,0.350771456,2
2013,11,Center,N,N,0.38506013,2
2013,11,Ring,N,N,0.361984936,2
2013,12,Center,Y,L,0.420875421,2
2013,12,Ring,Y,L,0.290790428,2
2013,13,Center,N,N,0.367242041,3
2013,13,Ring,N,N,0.395857942,3
2013,14,Center,N,L,0.349129023,3
2013,14,Ring,N,L,0.296834772,3
2013,15,Center,Y,L,0.390239826,3
2013,15,Ring,Y,L,0.471721663,3
2013,16,Center,N,H,0.273762795,3
2013,16,Ring,N,H,0.320943465,3
2013,17,Center,Y,H,0.436754551,3
2013,17,Ring,Y,H,0.328156113,3
2013,18,Center,Y,N,0.3885371,3
2013,18,Ring,Y,N,0.324754034,3
2013,19,Center,Y,N,0.428547977,4
2013,19,Ring,Y,N,0.398035955,4
2013,20,Center,Y,L,0.314651403,4
2013,20,Ring,Y,L,0.440503786,4
2013,21,Center,N,N,0.358840052,4
2013,21,Ring,N,N,0.493002829,4
2013,22,Center,N,L,0.356238149,4
2013,22,Ring,N,L,0.420542192,4
2013,23,Center,N,H,0.407357959,4
2013,23,Ring,N,H,0.490376097,4
2013,24,Center,Y,H,0.355375097,4
2013,24,Ring,Y,H,0.468394831,4
2013,25,Center,Y,L,0.473073466,5
2013,25,Ring,Y,L,0.456101915,5
2013,26,Center,N,H,0.447698102,5
2013,26,Ring,N,H,0.494549889,5
2013,27,Center,N,L,0.496953873,5
2013,27,Ring,N,L,0.382547918,5
2013,28,Center,Y,H,0.434128076,5
2013,28,Ring,Y,H,0.334340818,5
2013,29,Center,Y,N,0.438791094,5
2013,29,Ring,Y,N,0.293738283,5
2013,30,Center,N,N,0.342280895,5
2013,30,Ring,N,N,0.309952459,5
2013,31,Center,N,H,0.358914548,6
2013,31,Ring,N,H,0.406829814,6
2013,32,Center,Y,N,0.336055811,6
2013,32,Ring,Y,N,0.380037474,6
2013,33,Center,Y,H,0.372788802,6
2013,33,Ring,Y,H,0.358107604,6
2013,34,Center,N,N,0.342513054,6
2013,34,Ring,N,N,0.436758146,6
2013,35,Center,Y,L,0.423623995,6
2013,35,Ring,Y,L,0.311879603,6
2013,36,Center,N,L,0.374801776,6
2013,36,Ring,N,L,0.260965954,6
