year,plot,plotLoc,AMFInoc,biochar,block,mass_8mm,mass_4mm,mass_2mm,mass_1mm,mass_0-5mm,mass_0-25mm,mass_fine,totalMass,perc_8mm,perc_4mm,perc_2mm,perc_1mm,perc_0-5mm,perc_0-25mm,perc_fine
2013,1,Center,Y,H,1,20.523,25.684,32.299,15.547,10.798,5.371,0.813,111.035,0.184833611,0.23131445,0.29089026,0.140018913,0.097248615,0.048372135,0.007322016
2013,1,Ring,Y,H,1,14.31,23.651,26.441,26.786,15.448,4.34,0.385,111.361,0.128501001,0.212381354,0.237435009,0.240533041,0.138720019,0.038972351,0.003457225
2013,2,Center,N,N,1,18.352,22.839,28.287,32.691,10.456,7.665,1.548,121.838,0.150626241,0.187453832,0.232168946,0.268315304,0.085818874,0.062911407,0.012705396
2013,2,Ring,N,N,1,19.139,27.64,22.067,23.07,16.526,7.69,0.954,117.086,0.163461046,0.236065798,0.188468305,0.197034658,0.141144116,0.065678219,0.008147857
2013,3,Center,Y,N,1,25.682,22.02,20.72,26.431,18.376,11.712,2.443,127.384,0.201610877,0.172863154,0.162657791,0.207490737,0.144256736,0.091942473,0.019178233
2013,3,Ring,Y,N,1,36.598,28.083,21.669,22.175,13.375,11.33,2.516,135.746,0.269606471,0.206879024,0.159629013,0.163356563,0.098529607,0.083464706,0.018534616
2013,4,Center,Y,L,1,15.935,26.713,21.43,29.945,16.918,8.938,4.104,123.983,0.128525685,0.215456958,0.172846277,0.241525048,0.136454191,0.072090529,0.033101312
2013,4,Ring,Y,L,1,21.254,22,20.917,25.259,11.856,5.664,0.644,107.594,0.197538896,0.204472368,0.194406751,0.234762161,0.110192018,0.052642341,0.005985464
2013,5,Center,N,L,1,24.69,18.562,17.174,16.667,12.437,8.038,17.218,114.786,0.215095918,0.161709616,0.149617549,0.145200634,0.10834945,0.070025961,0.150000871
2013,5,Ring,N,L,1,31.745,24.015,15.783,16.236,11.816,7.804,13.364,120.763,0.26287025,0.198860578,0.130694004,0.134445153,0.097844538,0.064622442,0.110663034
2013,6,Center,N,H,1,17.081,19.617,19.647,18.216,13.865,16.913,4.571,109.91,0.155408971,0.178482395,0.178755345,0.165735602,0.126148667,0.153880448,0.041588572
2013,6,Ring,N,H,1,9.929,18.407,20.662,20.956,15.165,10.139,23.163,118.421,0.083844926,0.155436958,0.174479189,0.176961856,0.128060057,0.08561826,0.195598754
2013,7,Center,N,L,2,28.154,19.197,15.672,16.536,12.171,8.342,13.592,113.664,0.247694961,0.168892525,0.137880068,0.145481419,0.107078758,0.073391751,0.119580518
2013,7,Ring,N,L,2,16.719,21.719,20.066,20.227,15.705,11.213,16.395,122.044,0.136991577,0.177960408,0.164416112,0.165735309,0.128683098,0.0918767,0.134336797
2013,8,Center,Y,H,2,25.834,21.476,14.456,13.918,10.35,7.435,14.109,107.578,0.240142036,0.199631895,0.134376917,0.129375895,0.096209262,0.069112644,0.131151351
2013,8,Ring,Y,H,2,24.754,16.567,17.859,18.386,14.439,10.126,10.858,112.989,0.219083274,0.146624893,0.158059634,0.162723805,0.127791201,0.089619343,0.09609785
2013,9,Center,N,H,2,19.29,20.618,15.619,16.325,12.762,8.773,15.252,108.639,0.177560545,0.189784516,0.143769733,0.15026832,0.117471626,0.080753689,0.140391572
2013,9,Ring,N,H,2,11.91,19.333,16.725,16.887,13.077,8.366,15.363,101.661,0.117154071,0.190171255,0.164517367,0.166110898,0.128633399,0.082293111,0.151119898
2013,10,Center,Y,N,2,8.858,16.51,17.247,18.486,14.206,10.096,20.515,105.918,0.083630733,0.1558753,0.162833513,0.174531241,0.134122623,0.09531902,0.19368757
2013,10,Ring,Y,N,2,22.081,27.657,23.063,21.563,15.142,9.93,14.715,134.151,0.164598102,0.206163204,0.171918212,0.160736782,0.112872808,0.074021066,0.109689827
2013,11,Center,N,N,2,8.195,19.749,17.025,17.878,12.893,8.738,15.715,100.193,0.081792141,0.197109579,0.16992205,0.178435619,0.128681644,0.087211681,0.156847285
2013,11,Ring,N,N,2,18.046,23.777,20.274,19.11,14.163,8.807,13.037,117.214,0.153957718,0.202851195,0.172965687,0.163035132,0.120830276,0.075136076,0.111223915
2013,12,Center,Y,L,2,7.784,18.068,16.368,17.017,13.207,9.388,22.519,104.351,0.074594398,0.1731464,0.156855229,0.163074623,0.126563234,0.089965597,0.215800519
2013,12,Ring,Y,L,2,11.596,15.547,16.344,16.163,12.46,8.207,15.136,95.453,0.121483872,0.16287597,0.171225629,0.169329408,0.130535447,0.085979487,0.158570186
2013,13,Center,N,N,3,16.283,16.6,14.892,13.891,10.857,7.715,15.117,95.355,0.17076189,0.174086309,0.156174296,0.145676682,0.113858738,0.080908185,0.1585339
2013,13,Ring,N,N,3,9.907,16.541,15.61,16.432,13.097,8.868,19.75,100.205,0.098867322,0.165071603,0.15578065,0.163983833,0.130702061,0.088498578,0.197095953
2013,14,Center,N,L,3,10.802,18.44,18.655,18.442,14.838,9.947,16.471,107.595,0.100395,0.171383429,0.173381663,0.171402017,0.137906037,0.092448534,0.153083322
