OTUNum,PhyloGenusAttrib
97,Diversispora
284,Diversispora
361,Diversispora
637,Diversispora
662,Diversispora
17,Acaulospora
44,Acaulospora
46,Acaulospora
92,Acaulospora
123,Acaulospora
199,Acaulospora
203,Acaulospora
357,Acaulospora
581,Acaulospora
701,Acaulospora
754,Acaulospora
762,Acaulospora
45,Scutellospora
96,Scutellospora
148,Scutellospora
169,Scutellospora
416,Scutellospora
147,Cetraspora
423,Cetraspora
75,Racocetra
302,Racocetra
404,Dentiscutata
182,Gigaspora
194,Gigaspora
23,Claroideoglomeraceae
39,Claroideoglomeraceae
42,Claroideoglomeraceae
65,Claroideoglomeraceae
72,Claroideoglomeraceae
88,Claroideoglomeraceae
93,Claroideoglomeraceae
121,Claroideoglomeraceae
235,Claroideoglomeraceae
293,Claroideoglomeraceae
432,Claroideoglomeraceae
435,Claroideoglomeraceae
442,Claroideoglomeraceae
598,Claroideoglomeraceae
616,Claroideoglomeraceae
619,Claroideoglomeraceae
639,Claroideoglomeraceae
703,Claroideoglomeraceae
739,Claroideoglomeraceae
764,Claroideoglomeraceae
769,Claroideoglomeraceae
11,Claroideoglomus
84,Claroideoglomus
173,Claroideoglomus
193,Claroideoglomus
426,Claroideoglomus
732,Claroideoglomus
771,Claroideoglomus
1,Glomeraceae
12,Glomeraceae
30,Glomeraceae
38,Glomeraceae
40,Glomeraceae
47,Glomeraceae
67,Glomeraceae
86,Glomeraceae
87,Glomeraceae
98,Glomeraceae
105,Glomeraceae
109,Glomeraceae
141,Glomeraceae
150,Glomeraceae
168,Glomeraceae
172,Glomeraceae
174,Glomeraceae
176,Glomeraceae
178,Glomeraceae
185,Glomeraceae
202,Glomeraceae
257,Glomeraceae
358,Glomeraceae
374,Glomeraceae
376,Glomeraceae
420,Glomeraceae
422,Glomeraceae
434,Glomeraceae
445,Glomeraceae
497,Glomeraceae
504,Glomeraceae
514,Glomeraceae
545,Glomeraceae
587,Glomeraceae
651,Glomeraceae
654,Glomeraceae
683,Glomeraceae
690,Glomeraceae
691,Glomeraceae
693,Glomeraceae
706,Glomeraceae
707,Glomeraceae
719,Glomeraceae
733,Glomeraceae
745,Glomeraceae
760,Glomeraceae
767,Glomeraceae
5,Rhizoglomus
8,Rhizoglomus
10,Rhizoglomus
15,Rhizoglomus
27,Rhizoglomus
37,Rhizoglomus
52,Rhizoglomus
55,Rhizoglomus
58,Rhizoglomus
64,Rhizoglomus
66,Rhizoglomus
69,Rhizoglomus
73,Rhizoglomus
80,Rhizoglomus
81,Rhizoglomus
91,Rhizoglomus
111,Rhizoglomus
120,Rhizoglomus
122,Rhizoglomus
126,Rhizoglomus
133,Rhizoglomus
135,Rhizoglomus
137,Rhizoglomus
143,Rhizoglomus
157,Rhizoglomus
166,Rhizoglomus
175,Rhizoglomus
187,Rhizoglomus
195,Rhizoglomus
198,Rhizoglomus
205,Rhizoglomus
217,Rhizoglomus
234,Rhizoglomus
245,Rhizoglomus
262,Rhizoglomus
285,Rhizoglomus
290,Rhizoglomus
312,Rhizoglomus
322,Rhizoglomus
328,Rhizoglomus
332,Rhizoglomus
394,Rhizoglomus
415,Rhizoglomus
421,Rhizoglomus
451,Rhizoglomus
488,Rhizoglomus
493,Rhizoglomus
519,Rhizoglomus
522,Rhizoglomus
542,Rhizoglomus
560,Rhizoglomus
572,Rhizoglomus
607,Rhizoglomus
642,Rhizoglomus
656,Rhizoglomus
667,Rhizoglomus
673,Rhizoglomus
678,Rhizoglomus
680,Rhizoglomus
681,Rhizoglomus
688,Rhizoglomus
705,Rhizoglomus
734,Rhizoglomus
740,Rhizoglomus
744,Rhizoglomus
68,Glomus
145,Glomus
671,Glomus
13,Funneliformis
54,Funneliformis
377,Funneliformis
505,Funneliformis
620,Funneliformis
742,Funneliformis
119,Septoglomus
437,Septoglomus
20,Archaeosporaceae
28,Archaeosporaceae
53,Archaeosporaceae
56,Archaeosporaceae
89,Archaeosporaceae
191,Archaeosporaceae
277,Archaeosporaceae
540,Archaeosporaceae
702,Archaeosporaceae
746,Archaeosporaceae
777,Archaeosporaceae
201,Archaeospora
29,Paraglomus
31,Paraglomus
76,Paraglomus
99,Paraglomus
186,Paraglomus
324,Paraglomus
489,Paraglomus
755,Paraglomus
