X746	X191	X20	X540	X277	X777	X28	X702	X53	X89	X56	X302	X75	X147	X423	X404	X182	X194	X45	X96	X169	X416	X148	X46	X203	X92	X357	X44	X199	X123	X701	X762	X17	X754	X581	X97	X662	X361	X637	X284	X195	X91	X415	X126	X234	X133	X542	X64	X205	X27	X98	X545	X497	X514	X141	X376	X504	X374	X420	X257	X693	X358	X690	X1	X680	X322	X705	X719	X745	X707	X706	X760	X767	X67	X174	X202	X87	X12	X38	X422	X40	X86	X691	X587	X150	X178	X30	X434	X654	X185	X172	X109	X47	X733	X445	X135	X519	X394	X58	X55	X217	X688	X245	X328	X642	X15	X332	X166	X81	X656	X37	X157	X175	X66	X678	X572	X740	X734	X73	X143	X8	X488	X421	X451	X80	X493	X10	X137	X52	X198	X187	X122	X667	X111	X744	X5	X120	X69	X285	X560	X505	X620	X13	X377	X176	X105	X651	X168	X145	X68	X671	X437	X119	X683	X742	X54	X681	X673	X262	X312	X522	X607	X290	X703	X65	X764	X293	X619	X769	X442	X23	X88	X39	X616	X739	X432	X72	X639	X121	X235	X435	X42	X93	X598	X173	X732	X11	X771	X84	X426	X193	X201	X186	X99	X76	X489	X31	X324	X29	X755
1	6	62	5681	8	0	0	171	2	549	0	0	0	0	20	0	0	0	0	226	28	0	5	21	0	0	0	1	1	0	1	0	0	2	0	0	46	0	0	0	0	2	5	0	0	54	27	4	43	0	52	26	1	1	0	10	0	0	1	0	0	3	2	2	5268	0	5	1	4	2	3	13	1	0	58	17	4	87	3857	2	0	465	27	5	3	311	0	3383	27	0	0	0	2	26	0	16	20	4	0	398	257	28	9	11	11	10	8035	16	147	353	1	2597	0	0	227	0	1	0	1	23	0	1996	0	2	8	0	0	6814	0	788	11	6	67	0	48	2	21299	147	169	11	19	0	0	799	0	0	274	5	300	399	981	10	0	2	1	0	208	6	12	43	43	16	34	51	5	372	1	8	6	1	8	1799	218	1086	4	2	0	0	9	141	0	0	929	358	5	20	3	3360	0	162	4	29	6	0	1	34	0	29	0	626	0
2	0	0	44	0	0	0	25	0	32	1	0	0	0	11	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	189	0	0	0	0	0	0	0	0	0	152	35	6	39	1397	0	0	326	60	0	0	1	0	363	0	0	0	0	9	29	0	0	0	0	0	245	2	0	0	0	0	0	353	0	0	1	0	134	3	0	2	0	0	0	0	1	0	69	0	0	0	0	0	269	0	10	1	0	0	0	0	0	1026	1	2	0	0	0	0	74	0	0	75	0	0	4	156	0	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	123	11	24	0	0	0	118	0	3	0	0	4	98	0	0	0	662	0	35	0	0	3	0	14	3	0	502	0	108	0
3	0	10	2032	2	0	0	51	0	69	2	36	0	0	17	0	0	2	0	449	95	58	0	36	0	0	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	3	0	4	72	133	1521	38	3	1	2	5	0	0	0	0	0	0	0	10	7157	0	0	0	0	0	0	2	0	0	34	0	3	29	687	0	0	250	41	0	3	35	0	170	0	0	2	0	1	1	0	0	6	18	0	2397	91	5	0	0	0	0	2280	1	17	0	0	199	0	0	67	0	0	0	0	49	339	2608	1	1	1	0	0	2062	0	84	0	3	13	0	15	0	6406	39	87	1	1	0	0	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	3	0	1	1	1275	58	306	0	0	0	1	0	1	0	0	65	2	0	0	0	402	0	28	0	0	1	0	205	318	0	329	1	751	0
4	0	13	1868	1	12	0	295	0	133	4	0	0	0	38	0	0	0	0	755	100	105	3	0	0	0	0	0	1	31	1	0	0	165	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	67	411	6	2	1	0	0	0	0	0	0	0	0	0	0	1204	0	0	0	0	0	0	1	1	0	6	11	0	0	1904	0	0	216	14	2	0	145	0	285	0	0	0	0	63	100	0	1	4	0	0	177	15	2	0	0	0	0	1795	1	12	0	0	129	0	0	5	0	0	0	0	0	72	446	0	0	0	0	0	1991	0	42	0	2	3	0	3	0	4698	6	9	0	1	0	0	138	0	1	17	0	0	0	71	2	0	0	0	0	5	0	0	2	1	0	0	0	0	0	0	6	1	0	0	920	152	433	1	1	0	0	0	1	0	0	1	0	4	41	1	6380	0	22	0	0	15	0	42	16	0	130	0	258	1
5	0	0	268	0	0	0	25	0	23	2	0	0	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	0	0	1	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	57	0	0	0	0	4	0	0	0	0	0	0	0	1	0	125	0	0	0	0	0	34	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	42	0	0	0	0	0	0	6	43	0	81	0	68	1
6	0	4	643	0	0	0	31	0	35	1	1	0	1	0	0	0	0	0	98	95	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	1	1	45	1	723	14	0	6	1	5	2	0	0	0	0	0	0	1	6964	0	4	0	0	0	0	3	2	0	13	3	4	200	2409	1	0	96	1	0	0	24	0	420	3	0	0	0	0	5	0	7	12	2	0	171	69	2	0	2	0	0	1930	0	1	5	0	5	0	0	101	0	0	0	1	127	2	3110	0	3	3	0	0	1690	0	50	2	5	13	0	14	0	5762	14	55	3	0	0	0	44	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	4	1	1	0	2	0	1	0	5	0	0	2	565	43	189	0	0	0	1	0	0	0	0	26	0	0	3	0	166	0	5	0	1	0	0	153	295	1	313	0	310	0
7	0	4	580	0	0	0	12	0	27	0	6	1	1	16	0	0	0	0	50	19	3	0	14	100	15	0	0	0	1	0	0	0	42	0	0	1	0	0	0	0	0	0	0	0	6	58	2	57	0	256	14	0	1	1	8	3	0	0	0	0	0	1	0	6504	0	0	0	0	0	0	0	0	0	67	0	18	48	751	1	0	105	31	0	1	0	0	78	0	0	2	0	0	29	0	0	5	0	0	0	103	1	0	10	1	0	1861	3	7	203	1	329	0	0	150	0	0	1	0	114	0	2859	2	2	3	0	0	2101	0	171	7	9	36	1	33	0	3791	26	59	5	0	0	0	41	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	11	0	0	0	0	1	205	10	98	0	0	0	0	0	6	0	0	61	6	0	1	0	245	0	6	0	0	0	0	0	161	0	252	2	246	1
8	0	35	2944	4	0	0	2	0	52	0	0	0	0	0	0	0	0	0	178	68	36	3	32	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	3	8	4	88	0	503	33	3	4	3	17	3	0	0	0	0	0	2	0	8324	1	3	0	1	2	0	0	0	0	0	0	13	126	2429	0	0	11	6	0	0	0	0	39	0	0	0	0	5	31	0	1	15	0	0	0	154	8	0	3	2	0	1653	1	22	155	0	109	0	0	123	3	1	0	0	156	0	3534	3	2	1	0	0	1591	0	143	7	7	18	0	29	1	3857	23	74	6	1	1	0	607	0	0	0	0	0	0	58	5	0	0	0	0	131	0	0	2	4	0	0	0	0	26	0	2	0	0	0	426	97	488	2	0	0	26	0	17	0	7	41	0	0	34	0	1889	0	7	4	0	0	0	167	49	4	847	0	422	0
9	0	1	266	0	0	0	5	0	118	0	1	0	0	8	0	2	0	0	230	40	3	3	20	740	55	5	0	1	13	0	0	0	167	0	0	0	0	0	0	0	134	505	39	0	3	4	1	69	0	125	42	0	2	1	23	0	0	7	9	13	0	5	0	3954	0	0	0	1	0	0	0	0	0	23	24	10	1	348	8	1	27	10	0	0	4	0	31	0	0	0	0	0	0	0	1	7	0	0	3	79	4	0	2	3	0	752	1	2	6	0	35	210	0	82	1	0	2	1	72	0	1497	5	5	3	0	0	826	0	33	28	11	8	2	20	0	1731	25	78	12	10	0	0	7	0	0	2	0	1	7	5	0	0	0	0	0	0	0	0	4	1	0	0	6	0	110	0	2	0	0	1	201	41	217	1	2	0	133	0	2	0	0	26	30	0	0	0	94	0	0	0	1	0	0	3	2	0	7	0	127	0
10	1	7	826	1	0	0	0	0	34	1	0	0	0	38	0	0	0	0	163	43	0	0	8	43	5	1	0	0	1	0	0	0	48	0	0	0	0	0	0	0	260	1650	33	0	3	4	0	111	0	205	77	1	2	1	27	3	0	3	3	7	1	6	0	6721	0	0	0	0	0	0	0	0	0	18	48	3	27	1212	0	0	99	14	0	1	3	0	162	0	0	0	0	0	0	0	3	14	0	0	3	54	1	0	0	2	0	452	0	0	1	0	97	567	0	23	0	1	0	0	60	0	2458	1	4	0	1	0	462	0	18	47	7	5	3	17	1	1001	10	72	7	4	0	0	260	0	0	0	1	0	65	1	0	0	0	0	0	36	0	0	2	0	0	0	0	0	3	0	1	0	0	0	315	22	113	0	0	0	185	0	0	0	0	4	26	2	0	0	301	0	10	0	2	0	0	2	151	2	235	0	310	1
