Coordinated_Sample_Number	Year	Plot	Plot_Location	AM_fungal_inoc.	Biochar
1	1	2013	1	R	Y	H
2	2	2013	1	C	Y	H
3	3	2013	2	R	N	N
4	4	2013	2	C	N	N
5	5	2013	3	R	Y	N
6	6	2013	3	C	Y	N
7	7	2013	4	R	Y	L
8	8	2013	4	C	Y	L
9	9	2013	5	R	N	L
10	10	2013	5	C	N	L
11	11	2013	6	R	N	H
12	12	2013	6	C	N	H
13	13	2013	7	R	N	L
14	14	2013	7	C	N	L
15	15	2013	8	R	Y	H
16	16	2013	8	C	Y	H
17	17	2013	9	R	N	H
18	18	2013	9	C	N	H
19	19	2013	10	R	Y	N
20	20	2013	10	C	Y	N
21	21	2013	11	R	N	N
22	22	2013	11	C	N	N
23	23	2013	12	R	Y	L
24	24	2013	12	C	Y	L
25	25	2013	13	R	N	N
26	26	2013	13	C	N	N
27	27	2013	14	R	N	L
28	28	2013	14	C	N	L
29	29	2013	15	R	Y	L
30	30	2013	15	C	Y	L
31	31	2013	16	R	N	H
32	32	2013	16	C	N	H
33	33	2013	17	R	Y	H
34	34	2013	17	C	Y	H
35	35	2013	18	R	Y	N
36	36	2013	18	C	Y	N
37	37	2013	19	R	Y	N
38	38	2013	19	C	Y	N
39	39	2013	20	R	Y	L
40	40	2013	20	C	Y	L
41	41	2013	21	R	N	N
42	42	2013	21	C	N	N
43	43	2013	22	R	N	L
44	44	2013	22	C	N	L
45	45	2013	23	R	N	H
46	46	2013	23	C	N	H
47	47	2013	24	R	Y	H
48	48	2013	24	C	Y	H
49	49	2013	25	R	Y	L
50	50	2013	25	C	Y	L
51	51	2013	26	R	N	H
52	52	2013	26	C	N	H
53	53	2013	27	R	N	L
54	54	2013	27	C	N	L
55	55	2013	28	R	Y	H
56	56	2013	28	C	Y	H
57	57	2013	29	R	Y	N
58	58	2013	29	C	Y	N
59	59	2013	30	R	N	N
60	60	2013	30	C	N	N
61	61	2013	31	R	N	H
62	62	2013	31	C	N	H
63	63	2013	32	R	Y	N
64	64	2013	32	C	Y	N
65	65	2013	33	R	Y	H
66	66	2013	33	C	Y	H
67	67	2013	34	R	N	N
68	68	2013	34	C	N	N
69	69	2013	35	R	Y	L
70	70	2013	35	C	Y	L
71	71	2013	36	R	N	L
72	72	2013	36	C	N	L
97	97	2014	1	R	Y	H
98	98	2014	1	C	Y	H
99	99	2014	2	R	N	N
100	100	2014	2	C	N	N
101	101	2014	3	R	Y	N
102	102	2014	3	C	Y	N
103	103	2014	4	R	Y	L
104	104	2014	4	C	Y	L
105	105	2014	5	R	N	L
106	106	2014	5	C	N	L
107	107	2014	6	R	N	H
108	108	2014	6	C	N	H
109	109	2014	7	R	N	L
110	110	2014	7	C	N	L
111	111	2014	8	R	Y	H
112	112	2014	8	C	Y	H
113	113	2014	9	R	N	H
114	114	2014	9	C	N	H
115	115	2014	10	R	Y	N
116	116	2014	10	C	Y	N
117	117	2014	11	R	N	N
118	118	2014	11	C	N	N
119	119	2014	12	R	Y	L
120	120	2014	12	C	Y	L
121	121	2014	13	R	N	N
122	122	2014	13	C	N	N
123	123	2014	14	R	N	L
124	124	2014	14	C	N	L
125	125	2014	15	R	Y	L
126	126	2014	15	C	Y	L
127	127	2014	16	R	N	H
128	128	2014	16	C	N	H
129	129	2014	17	R	Y	H
130	130	2014	17	C	Y	H
131	131	2014	18	R	Y	N
132	132	2014	18	C	Y	N
133	133	2014	19	R	Y	N
134	134	2014	19	C	Y	N
135	135	2014	20	R	Y	L
136	136	2014	20	C	Y	L
137	137	2014	21	R	N	N
138	138	2014	21	C	N	N
139	139	2014	22	R	N	L
140	140	2014	22	C	N	L
141	141	2014	23	R	N	H
142	142	2014	23	C	N	H
143	143	2014	24	R	Y	H
144	144	2014	24	C	Y	H
145	145	2014	25	R	Y	L
146	146	2014	25	C	Y	L
147	147	2014	26	R	N	H
148	148	2014	26	C	N	H
149	149	2014	27	R	N	L
150	150	2014	27	C	N	L
151	151	2014	28	R	Y	H
152	152	2014	28	C	Y	H
153	153	2014	29	R	Y	N
154	154	2014	29	C	Y	N
155	155	2014	30	R	N	N
156	156	2014	30	C	N	N
157	157	2014	31	R	N	H
158	158	2014	31	C	N	H
159	159	2014	32	R	Y	N
160	160	2014	32	C	Y	N
161	161	2014	33	R	Y	H
162	162	2014	33	C	Y	H
163	163	2014	34	R	N	N
164	164	2014	34	C	N	N
165	165	2014	35	R	Y	L
166	166	2014	35	C	Y	L
167	167	2014	36	R	N	L
168	168	2014	36	C	N	L
