Plot,block,biocharLevel,AMFInoculation,All_cer_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,41557,150
2,1,N,N,41785,378
3,1,N,Y,41483,76
4,1,L,Y,41785,378
5,1,L,N,41785,378
6,1,H,N,41785,378
7,2,L,N,41483,76
8,2,H,Y,41785,378
9,2,H,N,41785,378
10,2,N,Y,,NA
11,2,N,N,,NA
12,2,L,Y,41785,378
13,3,N,N,41507,100
14,3,L,N,41785,378
15,3,L,Y,41785,378
16,3,H,N,41785,378
17,3,H,Y,41557,150
18,3,N,Y,41785,378
19,4,N,Y,41785,378
20,4,L,Y,,NA
21,4,N,N,41483,76
22,4,L,N,41507,100
23,4,H,N,41507,100
24,4,H,Y,41507,100
25,5,L,Y,41809,402
26,5,H,N,41483,76
27,5,L,N,41809,402
28,5,H,Y,41483,76
29,5,N,Y,41809,402
30,5,N,N,41809,402
31,6,H,N,41507,100
32,6,N,Y,41483,76
33,6,H,Y,41483,76
34,6,N,N,41483,76
35,6,L,Y,41809,402
36,6,L,N,41557,150
