Plot,biocharLevel,AMFInoculation,and_ger_lossDate,lossDate_daysSince_05_13_2013
1,H,Y,NA,
2,N,N,NA,
3,N,Y,NA,
4,L,Y,NA,
5,L,N,NA,
6,H,N,NA,
7,L,N,NA,
8,H,Y,NA,
9,H,N,NA,
10,N,Y,NA,
11,N,N,NA,
12,L,Y,NA,
13,N,N,8/6/15,815
14,L,N,8/6/15,815
15,L,Y,NA,
16,H,N,NA,
17,H,Y,NA,
18,N,Y,NA,
19,N,Y,NA,
20,L,Y,NA,
21,N,N,NA,
22,L,N,10/10/13,153
23,H,N,NA,
24,H,Y,NA,
25,L,Y,NA,
26,H,N,NA,
27,L,N,8/21/13,100
28,H,Y,NA,
29,N,Y,NA,
30,N,N,NA,
31,H,N,7/28/13,76
32,N,Y,6/29/13,47
33,H,Y,NA,
34,N,N,NA,
35,L,Y,NA,
36,L,N,8/6/15,815
