Plot,block,biocharLevel,AMFInoculation,Cor_tri_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,,NA
3,1,N,Y,,NA
4,1,L,Y,,NA
5,1,L,N,,NA
6,1,H,N,,NA
7,2,L,N,41878,471
8,2,H,Y,,NA
9,2,H,N,,NA
10,2,N,Y,,NA
11,2,N,N,,NA
12,2,L,Y,,NA
13,3,N,N,,NA
14,3,L,N,,NA
15,3,L,Y,,NA
16,3,H,N,41557,150
17,3,H,Y,,NA
18,3,N,Y,,NA
19,4,N,Y,,NA
20,4,L,Y,,NA
21,4,N,N,41454,47
22,4,L,N,,NA
23,4,H,N,,NA
24,4,H,Y,,NA
25,5,L,Y,,NA
26,5,H,N,,NA
27,5,L,N,,NA
28,5,H,Y,,NA
29,5,N,Y,,NA
30,5,N,N,,NA
31,6,H,N,41454,47
32,6,N,Y,,NA
33,6,H,Y,,NA
34,6,N,N,41507,100
35,6,L,Y,,NA
36,6,L,N,,NA
