Plot,block,biocharLevel,AMFInoculation,Dal_pur_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,41878,471
3,1,N,Y,41483,76
4,1,L,Y,,NA
5,1,L,N,,NA
6,1,H,N,,NA
7,2,L,N,41837,430
8,2,H,Y,,NA
9,2,H,N,41878,471
10,2,N,Y,41483,76
11,2,N,N,41454,47
12,2,L,Y,41454,47
13,3,N,N,41454,47
14,3,L,N,41454,47
15,3,L,Y,41483,76
16,3,H,N,,NA
17,3,H,Y,41878,471
18,3,N,Y,41483,76
19,4,N,Y,41454,47
20,4,L,Y,41454,47
21,4,N,N,41507,100
22,4,L,N,41483,76
23,4,H,N,41454,47
24,4,H,Y,,NA
25,5,L,Y,41454,47
26,5,H,N,41454,47
27,5,L,N,41483,76
28,5,H,Y,41454,47
29,5,N,Y,41507,100
30,5,N,N,41454,47
31,6,H,N,41483,76
32,6,N,Y,41454,47
33,6,H,Y,41483,76
34,6,N,N,41454,47
35,6,L,Y,41454,47
36,6,L,N,41454,47
