Plot,block,biocharLevel,AMFInoculation,Des_ill_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,41878,471
3,1,N,Y,,NA
4,1,L,Y,,NA
5,1,L,N,41878,471
6,1,H,N,,NA
7,2,L,N,,NA
8,2,H,Y,,NA
9,2,H,N,,NA
10,2,N,Y,,NA
11,2,N,N,41878,471
12,2,L,Y,,NA
13,3,N,N,41557,150
14,3,L,N,41837,430
15,3,L,Y,41483,76
16,3,H,N,,NA
17,3,H,Y,,NA
18,3,N,Y,,NA
19,4,N,Y,41557,150
20,4,L,Y,41483,76
21,4,N,N,,NA
22,4,L,N,41483,76
23,4,H,N,41483,76
24,4,H,Y,41483,76
25,5,L,Y,41483,76
26,5,H,N,41483,76
27,5,L,N,41483,76
28,5,H,Y,41483,76
29,5,N,Y,41878,471
30,5,N,N,41557,150
31,6,H,N,41483,76
32,6,N,Y,41507,100
33,6,H,Y,41809,402
34,6,N,N,41483,76
35,6,L,Y,,NA
36,6,L,N,,NA
