Plot,block,biocharLevel,AMFInoculation,Ech_pur_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,41557,150
3,1,N,Y,41483,76
4,1,L,Y,,NA
5,1,L,N,,NA
6,1,H,N,,NA
7,2,L,N,41483,76
8,2,H,Y,41507,100
9,2,H,N,,NA
10,2,N,Y,41483,76
11,2,N,N,41809,402
12,2,L,Y,,NA
13,3,N,N,41483,76
14,3,L,N,41557,150
15,3,L,Y,41483,76
16,3,H,N,41557,150
17,3,H,Y,41557,150
18,3,N,Y,41483,76
19,4,N,Y,41507,100
20,4,L,Y,41507,100
21,4,N,N,41483,76
22,4,L,N,41507,100
23,4,H,N,41483,76
24,4,H,Y,41837,430
25,5,L,Y,41483,76
26,5,H,N,41483,76
27,5,L,N,41483,76
28,5,H,Y,41483,76
29,5,N,Y,41507,100
30,5,N,N,41483,76
31,6,H,N,,NA
32,6,N,Y,41483,76
33,6,H,Y,41483,76
34,6,N,N,41483,76
35,6,L,Y,41483,76
36,6,L,N,,NA
