Plot,block,biocharLevel,AMFInoculation,les_cap_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,41837,430
3,1,N,Y,,NA
4,1,L,Y,,NA
5,1,L,N,41878,471
6,1,H,N,,NA
7,2,L,N,41483,76
8,2,H,Y,41483,76
9,2,H,N,,NA
10,2,N,Y,41557,150
11,2,N,N,41878,471
12,2,L,Y,41557,150
13,3,N,N,41785,378
14,3,L,N,,NA
15,3,L,Y,,NA
16,3,H,N,,NA
17,3,H,Y,,NA
18,3,N,Y,,NA
19,4,N,Y,41837,430
20,4,L,Y,41878,471
21,4,N,N,41483,76
22,4,L,N,,NA
23,4,H,N,41878,471
24,4,H,Y,41878,471
25,5,L,Y,41483,76
26,5,H,N,41483,76
27,5,L,N,41483,76
28,5,H,Y,41483,76
29,5,N,Y,41483,76
30,5,N,N,41483,76
31,6,H,N,41483,76
32,6,N,Y,41483,76
33,6,H,Y,41785,378
34,6,N,N,41483,76
35,6,L,Y,41837,430
36,6,L,N,41837,430
