Plot,block,biocharLevel,AMFInoculation,Lia_spi_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,41878,471
2,1,N,N,41454,47
3,1,N,Y,41454,47
4,1,L,Y,41454,47
5,1,L,N,41837,430
6,1,H,N,41454,47
7,2,L,N,41454,47
8,2,H,Y,,NA
9,2,H,N,41454,47
10,2,N,Y,41837,430
11,2,N,N,41454,47
12,2,L,Y,41809,402
13,3,N,N,41454,47
14,3,L,N,41785,378
15,3,L,Y,41837,430
16,3,H,N,41454,47
17,3,H,Y,41454,47
18,3,N,Y,41454,47
19,4,N,Y,41454,47
20,4,L,Y,41454,47
21,4,N,N,41785,378
22,4,L,N,41454,47
23,4,H,N,41785,378
24,4,H,Y,41454,47
25,5,L,Y,41454,47
26,5,H,N,41454,47
27,5,L,N,41454,47
28,5,H,Y,41454,47
29,5,N,Y,,NA
30,5,N,N,41454,47
31,6,H,N,41454,47
32,6,N,Y,41454,47
33,6,H,Y,41878,471
34,6,N,N,41454,47
35,6,L,Y,41454,47
36,6,L,N,41454,47
