speciesName,plotNum,biocharLevel,AMFInoculation,dateSampled,yearSampled,Height_cm,numLeaves2013_numTillersAllOtherYears,heightNormToPlantingHeight
All cer,1,H,Y,41407,2013,10.5,3,1
All cer,2,N,N,41407,2013,8,3,1
All cer,3,N,Y,41407,2013,11,3,1
All cer,4,L,Y,41407,2013,11.5,3,1
All cer,5,L,N,41407,2013,9,3,1
All cer,6,H,N,41407,2013,9,3,1
All cer,7,L,N,41407,2013,10,3,1
All cer,8,H,Y,41407,2013,14.5,3,1
All cer,9,H,N,41407,2013,8.5,2,1
All cer,10,N,Y,41407,2013,11,3,1
All cer,11,N,N,41407,2013,11,3,1
All cer,12,L,Y,41407,2013,12,3,1
All cer,13,N,N,41407,2013,10,2,1
All cer,14,L,N,41407,2013,12.5,2,1
All cer,15,L,Y,41407,2013,9.5,2,1
All cer,16,H,N,41407,2013,12,2,1
All cer,17,H,Y,41407,2013,9,3,1
All cer,18,N,Y,41407,2013,7.5,2,1
All cer,19,N,Y,41407,2013,8,2,1
All cer,20,L,Y,41407,2013,9,3,1
All cer,21,N,N,41407,2013,11,2,1
All cer,22,L,N,41407,2013,10.5,3,1
All cer,23,H,N,41407,2013,10,2,1
All cer,24,H,Y,41407,2013,10,3,1
All cer,25,L,Y,41407,2013,11,2,1
All cer,26,H,N,41407,2013,11.5,3,1
All cer,27,L,N,41407,2013,12,3,1
All cer,28,H,Y,41407,2013,14,12,1
All cer,29,N,Y,41407,2013,14,3,1
All cer,30,N,N,41407,2013,9,3,1
All cer,31,H,N,41407,2013,7.5,2,1
All cer,32,N,Y,41407,2013,10,3,1
All cer,33,H,Y,41407,2013,10.5,3,1
All cer,34,N,N,41407,2013,9,2,1
All cer,35,L,Y,41407,2013,9,3,1
All cer,36,L,N,41407,2013,10.5,2,1
And ger,1,H,Y,41407,2013,17,5,1
And ger,2,N,N,41407,2013,23.5,4,1
And ger,3,N,Y,41407,2013,14,6,1
And ger,4,L,Y,41407,2013,14.5,5,1
And ger,5,L,N,41407,2013,19.5,5,1
And ger,6,H,N,41407,2013,19,4,1
And ger,7,L,N,41407,2013,19,4,1
And ger,8,H,Y,41407,2013,11,4,1
And ger,9,H,N,41407,2013,16,5,1
And ger,10,N,Y,41407,2013,15.5,5,1
And ger,11,N,N,41407,2013,17,4,1
And ger,12,L,Y,41407,2013,19,6,1
And ger,13,N,N,41407,2013,22.5,4,1
And ger,14,L,N,41407,2013,24,5,1
And ger,15,L,Y,41407,2013,13,5,1
And ger,16,H,N,41407,2013,14.5,4,1
And ger,17,H,Y,41407,2013,13.5,5,1
And ger,18,N,Y,41407,2013,21,4,1
And ger,19,N,Y,41407,2013,12,5,1
And ger,20,L,Y,41407,2013,13,4,1
And ger,21,N,N,41407,2013,15,4,1
And ger,22,L,N,41407,2013,17,4,1
And ger,23,H,N,41407,2013,18.5,4,1
And ger,24,H,Y,41407,2013,20,3,1
And ger,25,L,Y,41407,2013,15,6,1
And ger,26,H,N,41407,2013,19,5,1
And ger,27,L,N,41407,2013,17.5,3,1
And ger,28,H,Y,41407,2013,11.5,6,1
And ger,29,N,Y,41407,2013,19,5,1
And ger,30,N,N,41407,2013,21,5,1
And ger,31,H,N,41407,2013,17.5,5,1
And ger,32,N,Y,41407,2013,19,5,1
And ger,33,H,Y,41407,2013,18,5,1
And ger,34,N,N,41407,2013,21,4,1
And ger,35,L,Y,41407,2013,17.5,4,1
And ger,36,L,N,41407,2013,16,3,1
Cor tri,1,H,Y,41407,2013,15.5,12,1
Cor tri,2,N,N,41407,2013,14.5,12,1
Cor tri,3,N,Y,41407,2013,13.5,12,1
Cor tri,4,L,Y,41407,2013,16,16,1
Cor tri,5,L,N,41407,2013,13,10,1
Cor tri,6,H,N,41407,2013,13.5,12,1
Cor tri,7,L,N,41407,2013,14,16,1
Cor tri,8,H,Y,41407,2013,14.5,12,1
Cor tri,9,H,N,41407,2013,14,12,1
Cor tri,10,N,Y,41407,2013,17.5,12,1
Cor tri,11,N,N,41407,2013,15,12,1
