Sample ID,plotNum,plotLocation,block,AMFInoc,biocharAmt,SRP_flux_ugPerSqCm_over29Days
1C,1,C,1,Y,H,1.5088
1R,1,R,1,Y,H,0.6496
2C,2,C,1,N,N,1.6
2R,2,R,1,N,N,1.7184
3C,3,C,1,Y,N,1.3248
3R,3,R,1,Y,N,3.584
4C,4,C,1,Y,L,1.76
4R,4,R,1,Y,L,4.032
5C,5,C,1,N,L,1.5296
5R,5,R,1,N,L,1.269333333
6C,6,C,1,N,H,0.5536
6R,6,R,1,N,H,0.4736
7C,7,C,2,N,L,1.026461538
7R,7,R,2,N,L,0.57408
8C,8,C,2,Y,H,0.5088
8R,8,R,2,Y,H,0.3616
9C,9,C,2,N,H,1.559466667
9R,9,R,2,N,H,1.474133333
10C,10,C,2,Y,N,2.04032
10R,10,R,2,Y,N,NA
11C,11,C,2,N,N,1.1696
11R,11,R,2,N,N,1.264
12C,12,C,2,Y,L,0.5184
12R,12,R,2,Y,L,0.874666667
13C,13,C,3,N,N,1.2096
13R,13,R,3,N,N,0.7232
14C,14,C,3,N,L,4
14R,14,R,3,N,L,0.5728
15C,15,C,3,Y,L,0.3968
15R,15,R,3,Y,L,NA
16C,16,C,3,N,H,0.7328
16R,16,R,3,N,H,0.5824
17C,17,C,3,Y,H,0.7168
17R,17,R,3,Y,H,1.36
18C,18,C,3,Y,N,1.0752
18R,18,R,3,Y,N,1.041066667
19C,19,C,4,Y,N,1.0944
19R,19,R,4,Y,N,3.0656
20C,20,C,4,Y,L,3.616
20R,20,R,4,Y,L,2.1664
21C,21,C,4,N,N,1.514666667
21R,21,R,4,N,N,0.5248
22C,22,C,4,N,L,2.837333333
22R,22,R,4,N,L,1.5328
23C,23,C,4,N,H,0.832
23R,23,R,4,N,H,NA
24C,24,C,4,Y,H,1.12
24R,24,R,4,Y,H,3.584
25C,25,C,5,Y,L,2.24
25R,25,R,5,Y,L,3.648
26C,26,C,5,N,H,0.656
26R,26,R,5,N,H,2.3424
27C,27,C,5,N,L,0.3552
27R,27,R,5,N,L,0.896
28C,28,C,5,Y,H,0.554666667
28R,28,R,5,Y,H,4.704
29C,29,C,5,Y,N,0.4288
29R,29,R,5,Y,N,0.496
30C,30,C,5,N,N,1.0272
30R,30,R,5,N,N,NA
31C,31,C,6,N,H,3.584
31R,31,R,6,N,H,1.3888
32C,32,C,6,Y,N,0.8544
32R,32,R,6,Y,N,NA
33C,33,C,6,Y,H,0.3904
33R,33,R,6,Y,H,2.2496
34C,34,C,6,N,N,0.8064
34R,34,R,6,N,N,1.9168
35C,35,C,6,Y,L,2.6848
35R,35,R,6,Y,L,1.0752
36C,36,C,6,N,L,0.576
36R,36,R,6,N,L,0.4992
