Plot,block,biocharLevel,AMFInoculation,Sch_sco_lossDate,lossDate_daysSince_05_13_2013
1,1,H,Y,,NA
2,1,N,N,,NA
3,1,N,Y,,NA
4,1,L,Y,,NA
5,1,L,N,,NA
6,1,H,N,,NA
7,2,L,N,41507,100
8,2,H,Y,,NA
9,2,H,N,41785,378
10,2,N,Y,41507,100
11,2,N,N,,NA
12,2,L,Y,,NA
13,3,N,N,41454,47
14,3,L,N,41483,76
15,3,L,Y,,NA
16,3,H,N,41557,150
17,3,H,Y,,NA
18,3,N,Y,41483,76
19,4,N,Y,41557,150
20,4,L,Y,41785,378
21,4,N,N,41483,76
22,4,L,N,41557,150
23,4,H,N,41557,150
24,4,H,Y,41557,150
25,5,L,Y,41557,150
26,5,H,N,41483,76
27,5,L,N,41483,76
28,5,H,Y,41483,76
29,5,N,Y,41454,47
30,5,N,N,41483,76
31,6,H,N,41454,47
32,6,N,Y,41507,100
33,6,H,Y,41483,76
34,6,N,N,41454,47
35,6,L,Y,41507,100
36,6,L,N,41454,47
