plotNum	Acer rubrum	Allium vinale	Andropogon gerardii	Apocynum cannabinum	Aster glacus leaf	Aster sp.	Baptisia sp.	Beefy sunflower	Bromus sp	Carex	Carex long seedhead	Cirsium arvense	Coreopsis palmata	Coreopsis tripteris	Crinkled leaf	Dalea purpurea	Daucus carota	Desmodium illinoense	Echinacea purpurea	Elymus canadensis	Erigeron sp.	Fescue arundinacea	Gallium	Geranium leaf	Helianthus grosserratus	Helianthus mollis	Juncus sp.	Lespedeza capitata	Maximillian-like sunflower	Medicago lupulina	Monarda fistulosa	Narrow alternate leaf	Oxalis stricta	Paddle leaf	Panicum oligosanthes	Parthenocissus quinquefolia	Penstemon	Persicaria maculosa	Phlox	Plantago lanceolata	Poa pratensis	Prunus sp.	Pycnanthemum virginianum	Ratibida pinnata	Ratibida-leaf upright	Rosinweed-like sunflower	Rubus sp.	Rudbeckia hirta	Rumex crispus	Senna hebecarpa	Silphium integrifolium	Silphium perfoliatum	Soft leaved alternate	Solanum carolinense	Solidago sp.	Spatula leaf	Spring avens?	Stellaria media	Symphyotrichum novae-angliae	Symphyotrichum pilosum	Trifolium pratense	Vernonia fasciculata	Viola sp.	Vitis sp.	Wide leaf like prairie dock	Wimpy sunflower
1	1	0	0	27	2	0	0	0	12	0	0	0	0	0	54	0	0	0	0	14	4	0	0	0	0	0	0	0	1	0	22	5	0	0	0	1	0	2	0	1	0	8	0	4	24	13	0	13	0	0	0	0	0	0	0	18	0	0	0	25	0	31	0	0	0	0	4
2	2	0	0	48	0	0	0	0	5	0	0	6	0	0	19	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	17	45	0	0	0	0	0	0	0	0	0	4	0	4	24	28	0	6	0	0	4	0	0	0	1	37	0	0	0	0	0	7	0	0	0	0	2
3	3	0	0	13	0	0	0	0	22	0	0	0	0	4	47	0	0	1	3	0	0	1	1	0	0	0	0	1	3	0	34	29	1	0	0	0	0	13	0	0	0	4	0	18	17	18	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	5	0	0	0	0	0
4	4	0	0	26	0	0	0	0	2	0	0	0	0	0	50	0	0	0	0	5	1	0	6	0	0	0	0	0	0	0	30	1	0	0	0	0	0	4	0	0	0	2	0	5	27	19	0	10	0	2	0	0	0	0	0	35	0	0	0	0	0	11	0	3	0	0	0
5	5	1	0	39	0	0	0	3	6	0	0	0	0	0	32	0	0	2	0	0	4	1	0	0	0	0	1	2	1	0	19	8	0	0	0	0	0	2	1	0	0	5	0	0	21	21	0	24	0	2	1	0	3	0	0	19	0	0	0	2	0	9	0	2	0	0	0
6	6	0	0	7	0	0	0	0	10	0	0	1	0	0	50	0	0	0	0	2	5	1	0	0	0	0	0	0	0	0	25	13	0	0	0	0	0	0	0	0	0	1	0	7	16	22	0	9	0	1	0	0	2	0	0	52	0	0	0	0	0	4	0	0	0	0	5
7	7	0	0	0	0	0	0	0	3	0	0	0	0	0	49	0	0	3	1	2	5	1	3	0	0	0	0	0	0	0	15	28	0	0	0	0	2	0	0	0	0	5	0	0	21	7	0	42	2	0	0	0	8	0	0	11	0	2	0	0	4	2	0	0	0	0	0
8	8	0	0	4	0	0	0	0	1	0	0	0	0	0	73	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	8	0	0	0	0	0	4	5	7	11	25	0	0	0	0	6	0	0	48	0	0	0	1	0	0	0	0	0	0	4
9	9	0	0	12	14	0	0	0	2	0	0	0	0	2	33	0	0	0	4	8	0	2	0	0	0	1	0	0	0	0	23	5	0	0	0	0	0	3	0	0	0	1	0	0	58	15	0	8	0	2	0	0	0	1	0	6	0	0	0	0	0	1	1	0	0	0	2
10	10	0	0	8	1	0	0	0	6	0	0	0	0	0	118	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	22	38	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	6	0	1	2	0	10	0	0	10	0	0	0	0	0	16	0	1	0	0	0
