FunctionalGroup,Species,sterileOrInoc,treatmentRep,nothing,hyphae,vesicle,arbuscule,numScoredIntersects,arbuscColonization
Forb,Allium cernuum,I,1,4,92,29,23,100,0.23
Forb,Allium cernuum,I,2,5,37,8,34,50,0.68
Forb,Allium cernuum,I,3,10,37,5,2,50,0.04
Forb,Allium cernuum,S,1,50,0,0,0,50,0
Forb,Allium cernuum,S,3,49,1,0,0,50,0
Grass,Andropogon gerardii,I,1,19,31,3,3,50,0.06
Grass,Andropogon gerardii,I,2,4,37,1,2,50,0.04
Grass,Andropogon gerardii,I,3,5,43,4,10,50,0.2
Grass,Andropogon gerardii,S,1,47,3,0,0,50,0
Grass,Andropogon gerardii,S,2,46,4,0,1,50,0.02
Grass,Andropogon gerardii,S,3,49,2,0,0,50,0
Forb,Coreopsis tripteris,I,1,5,36,4,12,50,0.24
Forb,Coreopsis tripteris,I,2,3,26,4,29,50,0.58
Forb,Coreopsis tripteris,S,1,42,4,0,0,50,0
Forb,Coreopsis tripteris,S,2,48,1,0,0,50,0
Forb,Coreopsis tripteris,S,3,47,2,0,0,50,0
Legume,Desmodium illinoense,I,1,0,37,1,39,50,0.78
Legume,Desmodium illinoense,I,2,4,34,0,46,50,0.92
Legume,Desmodium illinoense,I,3,5,24,0,29,50,0.58
Legume,Desmodium illinoense,I,3,11,19,0,26,50,0.52
Legume,Desmodium illinoense,S,1,47,0,0,0,50,0
Legume,Desmodium illinoense,S,2,50,0,0,0,50,0
Legume,Desmodium illinoense,S,3,49,0,0,1,50,0.02
Forb,Echinacea purpurea,I,1,25,12,0,17,50,0.34
Forb,Echinacea purpurea,I,2,26,17,0,7,50,0.14
Forb,Echinacea purpurea,I,3,12,36,0,22,50,0.44
Forb,Echinacea purpurea,S,2,50,0,0,0,50,0
Forb,Echinacea purpurea,S,3,50,0,0,0,50,0
Legume,Lespedeza capitata,I,1,9,31,1,72,100,0.72
Legume,Lespedeza capitata,I,2,8,26,0,37,50,0.74
Legume,Lespedeza capitata,I,3,0,27,0,47,50,0.94
Legume,Lespedeza capitata,S,1,50,1,0,0,50,0
Legume,Lespedeza capitata,S,2,50,0,0,0,50,0
Legume,Lespedeza capitata,S,3,46,1,4,0,50,0
Forb,Liatris spicata,I,1,19,28,2,14,50,0.28
Forb,Liatris spicata,I,2,15,32,5,13,50,0.26
Forb,Liatris spicata,I,3,7,30,4,23,50,0.46
Forb,Liatris spicata,S,1,40,1,7,0,50,0
Forb,Liatris spicata,S,2,41,9,7,10,50,0.2
Forb,Liatris spicata,S,3,43,1,3,0,50,0
Legume,Dalea purpurea,I,1,20,21,0,21,50,0.42
Legume,Dalea purpurea,I,2,19,16,0,32,50,0.64
Legume,Dalea purpurea,I,3,7,34,2,30,50,0.6
Legume,Dalea purpurea,S,1,30,21,1,0,50,0
Legume,Dalea purpurea,S,2,20,30,0,0,50,0
Legume,Dalea purpurea,S,3,16,23,1,0,50,0
Grass,Schizachyrium scoparium,I,1,4,47,15,12,50,0.24
Grass,Schizachyrium scoparium,I,2,16,22,0,24,50,0.48
Grass,Schizachyrium scoparium,I,3,1,47,2,22,50,0.44
Grass,Schizachyrium scoparium,S,1,44,1,2,0,50,0
Grass,Schizachyrium scoparium,S,2,48,1,0,0,50,0
Grass,Schizachyrium scoparium,S,3,51,0,0,0,50,0
